country; title; title_type; info
DEUTSCHLAND;ZEUGNIS UBER DIE ARZTLICHE (ΙΑΤΡΙΚΗΣ) RUEFUNG [H' ZAHNAERZTLICHE (ΟΔΟΝΤΙΑΤΡΙΚΗΣ) PRUEFUNG ¹ PHARMAZEUTISCHE (ΦΑΡΜΑΚΕΥΤΙΚΗΣ) PRUEFUNG ¹ TIERAERZTLICHE (ΚΤΗΝΙΑΤΡΙΚΗΣ) PRUEFUNG] (5-6 y);B (6);
DEUTSCHLAND;MAGISTER ARTIUM;B (6);
DEUTSCHLAND;MASTER OF LAWS (LL.M);I  (7);
DEUTSCHLAND;MASTER OF ARTS (M.A);I  (7);
DEUTSCHLAND;MASTER OF SCIENCE (M.Sc);I  (7);
DEUTSCHLAND;MASTER OF ENGINEERING;I  (7);
DEUTSCHLAND;MASTER OF EDUCATION;I  (7);
DEUTSCHLAND;DOKTOR;D (8);
DEUTSCHLAND;DOKTOR DER MEDIZIN, DOKTOR DER ZAHNHEILKUNDE και DOKTOR DER TIERMEDIZIN;D(8);
DOMINICAN REPUBLIC ;DOCTORADO EN MEDICINA / ODONTOLOGÍA;B(6);
EGYPT;BACHELOR;B (6);
EGYPT;MASTER;I  (7);
EGYPT;DOCTORÁÔÅ DEGREE;D (8);
EQUADOR;LICENCIADO;B (6);
EQUADOR;MAGISTER;I  (7);
EQUADOR;DOCTOR;D (8);
ERITHREA;BACHELOR;B (6);
ERITHREA;MASTER;I  (7);
ESPAGNA;LICENCIADO;B (6);
ESPAGNA;GRADO;B (6);
ESPAGNA;MASTER UNIVERSITARIO;I  (7);
ESPAGNA;(TITULO DE) DOCTOR;D (8);
ESPAGNA;TITULO SUPERIOR DE MUSICA (EN LA ESPECIALIDAD DE);B(6);
ESTONIA;BAKALAUREUSEKRAAD (?likool /3-4 χρονια);B (6);
ESTONIA;MAGISTRIKRAAD (Ulikool /1-2 χρονια);I (7);
ESTONIA;DOCTOR (PhD) (3-4 χρονια);D (8);
ETHIOPIA;BACHELOR;B (6);
ETHIOPIA;MASTER;I  (7);
ETHIOPIA;DOCTOR OF PHILOSOPHY( PH.D);D (8);
FINLAND;KANDIDAATI/KANDIDAT/BACHELOR (3 y);B (6);
FINLAND;MAISTERI/MAGISTER/MASTER (2 y);I (7);
FINLAND;Lisensiaatti/licentiat (2 y);?;
FINLAND;DOHTORI / DOKTOR (2-4 y);D (8);
FRANCE;DIPLOME D' ETAT DE DOCTEUR (Βασικό πτυχίο);B (6);
FRANCE;DIPLOME D' ETAT DE DOCTEUR EN MEDICINE;B (6);
FRANCE;MAITRISE (4 χρονια);B (6);
FRANCE;LICENCE (3 χρονια);B (6);
FRANCE;DIPLOME NATIONAL D' ART (DNA);B (6);
FRANCE;DIPLOME INGENIEUR ( DIPL. ING.;B (6);
FRANCE;MASTER;I  (7);
FRANCE;DIPLOME D'ETUDES SUPERIEURES SPECIALISEES (D.E.S.S.);I  (7);
FRANCE;DIPLOME D'ETUDES APPROFONDIES  (D.E.A);I  (7);
FRANCE;DOCTORAT;D (8);
FRANCE;DIPLÔME D’INGÉNIEUR DE SPÉCIALISATION;;
FRANCE;DIPLÔME DE FORMATION APPROFONDIE EN SCIENCES MEDICALES;B(7);
FRANCE;DIPLOME EN MANAGEMENT ET GESTION DES ENTREPRISES (Diplôme Visé Bac + 5 grade Master);I (7);* ESDES BUSINESS SCHOOL
FRANCE;BACHELOR EN SCIENCES DU MANAGEMENT - Diplôme d'études supérieures en commerce et management opérationnel (Diplôme Visé Bac + 3 grade Licence);B (6);* ESDES BUSINESS SCHOOL
FRANCE;DIPLÔME DE GESTION ET ADMINISTRATION DES AFFAIRES (MBA-EMBA) (Diplôme Visé Bac + 5 grade Master);I (7);* INSTITUT EUROPÉEN D'ADMINISTRATION DES AFFAIRES (INSEAD)
FRANCE;DIPLÔME EN SCIENCES DE GESTION (Diplôme Visé Bac + 5 grade Master);I (7);* INSTITUT EUROPÉEN D'ADMINISTRATION DES AFFAIRES (INSEAD)
FRANCE;DIPLÔME D'ÉTUDES SUPÉRIEURES SPÉCIALISÉES EN MANAGEMENT INTERNATIONAL (Diplôme Visé Bac + 5 grade Master);I (7);* INSTITUT EUROPÉEN D'ADMINISTRATION DES AFFAIRES (INSEAD)
GEORGIA;DIPLOMA BACHELOR (4 χρονια);B (6);
GEORGIA;DIPLOMA MASTER / INTEGRATED MASTER (5-6 χρονια);B (7);
GEORGIA;DIPLOMA MASTER (1-2 χρονια);I  (7);
GEORGIA;DOCTOR (3 χρονια);D (8);
GHANA;BACHELOR ( 3 χρονια);B (6);
GHANA;MASTER;I  (7);
GHANA;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
HONDURAS;    LICENCIATURA (TÍTULO DE INGENIERA EN AMBIENTE Y DESARROLLO;Β(6);
HONG- KONG;BACHELOR ( 3 χρονια);B (6);
HONG- KONG;MASTER;I  (7);
HONG- KONG;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
HUNGARY;DOCTORIS MEDICINAE UNIVERSAE / DOCTOR OF (GENERAL) MEDICINE (dr. Med.) (6 χρονια);B (7);
HUNGARY;DOCTOR OF DENTISTRY (5 χρονια);B (7);
HUNGARY;DOCTOR OF VETERINARY MEDICINE (5 χρονια);B (7);
HUNGARY;EGYETEMI OKLEVÉL OSZTATLAN MESTERKÉPZÉS (5-6 έτη);B (7);
HUNGARY;EGVETEMI OKLEVEL  (3-4 χρονια);B (6);
HUNGARY;OKLEVEL (BACHELOR);B (6);
HUNGARY;MESTERKÉPZÉS;I  (7);
HUNGARY;DOKTORI KÉPZÉS;D (8);
HUNGARY;DEGREE CERTIFICATE του AROLI GASPAR UNIVERSITY OF THE REFORMED CHURCH;B (6);
ICELAND;BACHELOR / BACCALAUREUS (3-4 χρονια);B (6);
ICELAND;CANDIDATUS (4-6);B (7);
ICELAND;MASTER / CANDIDATUS (1 1/2-2 χρονια);I  (7);
ICELAND;DOKTORSPR?F (PhD) (3 χρονια);D (8);
INDIA;BACHELOR;B (6);
INDIA;MASTER;I  (7);
INDIA;MASTER OF PHILOSOPHY;I  (7);
INDIA;DOCTOR OF PHILOSOPHY;D (8);
INDONESIA;SARJANA 1;B (6);
INDONESIA;MAGISTER/SARJANA 2;I  (7);
INDONESIA;DOCTOR/SARJANA 3;D (8);
INDONESIA; BACHELOR OF SCIENCE;Β(6);
IRAN;BACHELOR;B (6);
IRAN;MASTER;I  (7);
IRAN;MASTER CONTINUOUS ( 6 χρονια);I  (7);
IRAN;DOCTORATE;D (8);
IRAQ;BACHELOR;B (6);
IRAQ;MASTER;I  (7);
IRAQ;DOCTOR OF PHILOSOPHY (PH.D);D  (8);
IRELAND;BACHELOR  (3-4 χρονια);B (6);
IRELAND;MASTER /MASTER OF PHILOSOPHY (M. Phil) (1-2 χρονια);I  (7);
IRELAND;DOCTOR OF PHILOSOPHY (PH.D) (3-5 χρονια);D (8);
ISRAEL;BACHELOR OF ARTS;B (6);
ISRAEL;BACHELOR OF SCIENCE;B (6);
ISRAEL;MASTER OF ARTS;I  (7);
ISRAEL;MASTER OF SCIENCE;I  (7);
ISRAEL;DOCTOR OF PHILOSOPHY (PH.D);D (8);
ITALIA;LAUREA (παλαιού συστήματος);B (6);
ITALIA;LAUREA ( 5-6 χρονια)  (MEDICINE, DENTISTRY, VET MEDICINE);;
ITALIA;LAUREA ( 3 χρονια);B (6);
ITALIA;DIPLOMA ACADEMICO  DI PRIMO LIVELLO;B (6);
ITALIA;DIPLOMA IN EDUCAZIONE FISICA;Β(6);
ITALIA;DIPLOMA ACCADEMICO DI SECONDO LIVELLO;I  (7);
ITALIA;LAUREA MAGISTRALE;I  (7);
ITALIA;LAUREA SPECIALISTICA;I  (7);
ITALIA;SPECIALISTICA;I  (7);
ITALIA;LAUREA MAGISTRALE  (5-6 χρονια)(MEDICINE, DENTISTRY, VET MEDICINE);I  (7);
ITALIA;LAUREA SPECIALISTICA (5-6 χρονια) (MEDICINE, DENTISTRY, VET MEDICINE);I  (7);
ITALIA;DOTTORATO DI RICERCÁ;D (8);
ITALIA;DIPLOMA ACCADEMICO DI FORMAZIONE ALLA RICERCA;D (8);
ITALIA;DIPLOMA IN EDUCAZIONE FISICA;Β(6);
JAMAICA;BACHELOR’S DEGREE ;B(6);
JAMAICA;MASTER’S DEGREE ;I(7);
JAMAICA;DOCTORAT;D(8);
JAPAN;BACHELOR'S DEGREE ( 4 χρόνια);B (6);
JAPAN;MASTER'S DEGREE;I  (7);
JAPAN;DOCTORAL DEGREE;D (8);
JORDAN;BACHELOR;B (6);
JORDAN;MASTER;I  (7);
JORDAN;DOCTOR OF PHILOSOPHY ( PH.D);D (8);
KAZAKHSTAN;DIPLOM BAKALAURA;B (6);
KAZAKHSTAN;DIPLOM MAGISTRA;I  (7);
KAZAKHSTAN;DIPLOM SPECIALIST;I  (7);
KAZAKHSTAN;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
KENYA;BACHELOR ( 4 χρόνια);B (6);
KENYA;MASTER;I  (7);
KENYA;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
KING ABDULLAH;DOCTOR OF PHILOSOPHY;D (8);
LATVIA;BAKALAURA DIPLOMS (3-4 y);B (6);
LATVIA;MAGISTRA DIPLOMS (1-2 y);I  (7);
LATVIA;DOKTORA DIPLOMS (PhD) (3 y);D (8);
LATVIA;PROFESIONALA BAKALAURA DIPLOMS;I (7);
LEBANON;BACHELOR LICENCE (3-5 y);B (6);
LEBANON;MASTER (1-2 y);I  (7);
LEBANON;DOCTORAT (PhD) (3 y);D (8);
LIBYA;BACHELOR;B (6);
LIBYA;MASTER;I  (7);
LIBYA;DOCTORATE;D (8);
LITHUANIA;DIPLOMAS BAKALAURO (4 χρόνια);B (6);
LITHUANIA;MAGISTRO DIPLOMAS (5-6 χρόνια);B  (7);
LITHUANIA;MAGISTRO DIPLOMAS (1-2 χρόνια);I  (7);
LITHUANIA;DAKTARAS (PhD) (3 χρόνια);D (8);
LUXEMBOURG;BACHELOR (3 χρόνια);B (6);
LUXEMBOURG;MASTER (1-2 χρόνια);I  (7);
LUXEMBOURG;DOCTORAT (3 χρόνια);D (8);
MALAWI;BACHELOR'S DEGREE;Β(6);
MALAWI; MASTER'S DEGREE;I (7);
MALAWI;DOCTOR'S DEGREE;D (8);
MALAYSIA;BACHELOR;B (6);
MALAYSIA;MASTER;I  (7);
MALAYSIA;DOCTOR OF PHILOSOPHY (PH.D);D (8);
MALAYSIA;BACHELOR OF MEDICINE AND BACHELOR OF SURGERY (MBBS) ;B (7);
MALTA;BACHELOR'S DEGREE;B (6);
MALTA;MASTER'S DEGREE;I  (7);
MALTA;DOCTORA DEGREE;D (8);
MEXICO;LICENCIADO;B (6);
MEXICO;MAESTRO;I  (7);
MEXICO;DOCTOR;D (8);
MOLDOVA;DIPLOMA (DE STUDII SUPERIOARE) DE LICENTA (3-4 χρόνια);B (6);
MOLDOVA;DIPLOMA DE LICENTA - STUDII INTEGRATE (5-6 χρόνια);B (7);
MOLDOVA;DIPLOMA (DE STUDII SUPERIOARE) DE MASTER (11/2-2 χρόνια);I  (7);
MOLDOVA;DIPLOMA DE DOCTOR (PhD)  (3 χρόνια);D (8);
MONTENEGRO;BACHELOR;B(6);
MONTENEGRO;MASTER;I(7);
MONTENEGRO;DOCTORATE;D(8);
MOROCCO;LICENCE;B (6);
MOROCCO;DIPLOME D'  INGENIEUR D'ETAT;I  (7);
MOROCCO;DOCTORAT;D (8);
MOROCCO;DIPLOME D’ARCHITECTE “DENA” NATIONAL SCHOOL OF ARCHITECTURE;;
MOROCCO;BACHELOR OF SCIENCE;Β(6);
NAMIMBIA;BACHELOR'S DEGREE;B (6);
NAMIMBIA;MASTER'S DEGREE;I (7);
NAMIMBIA;DOCTOR'S DEGREE ;D (8);
NEPAL;BACHELOR'S DEGREE;B (6);
NEPAL;MASTER'S DEGREE;I  (7);
NEPAL;MASTER OF PHILOSOPHY;I  (7);
NEPAL;DOCTOR OF PHILOSOPHY (PH.D);D (8);
NETHERLANDS;BACHELOR;B (6);
NETHERLANDS;MASTER;I  (7);
NETHERLANDS;DOCTOR (PhD);D (8);
NEW ZEALAND;BACHELOR DIPLOMA;B (6);
NEW ZEALAND;BACHELOR (HONOURS);B (6);
NEW ZEALAND;MASTER;I  (7);
NEW ZEALAND;DOCTOR OF PHILOSOPHY (PH.D);D (8);
NICARAGUA;  TÍTULO DE INGENIERO INDUSTRIAL;Β(6);
NIGERIA;BACHELOR'S DEGREE;B (6);
NIGERIA;MASTER'S DEGREE;I  (7);
NIGERIA;DOCTOR'S  DEGREE;D (8);
NIGERIA;MASTER OF SCIENCE;I (7);
NORTH MACEDONIA;DIPLOMA ZA ZAVR?EN PRV CIKLUS NA STUDII  (DIPLOMA OF COMPLETED FIRST CYCLE)       (3-4 χρόνια);B (6);
NORTH MACEDONIA;DIPLOMA ZA ZAVR?EN VTOR CIKLUS NA STUDIIi -MAGISTER (DIPLOMA OF COMPLETED SECOND CYCLE - MASTER)          (1-2 Ýôç);I  (7);
NORTH MACEDONIA;DIPLOMA ZA ZAVR?EN PRV CIKLUS NA STUDII -INTEGRIRANI STUDII (DIPLOMA OF COMPLETED FIRST CYCLE STUDIES - INTEGRATED STUDY PROGRAMMES (5-6 Ýôç);B (6);
NORTH MACEDONIA;DOKTOR NA. (DOCTOR OF..) + THE NAME OF THE FIELD (3 χρόνια);D(8);
NORWAY;BACHELOR (3-4 χρόνια);B (6);
NORWAY;MASTER (11/2-2 χρόνια);I  (7);
NORWAY;PhD (3 χρόνια);D (8);
NORWAY;UNIVERSITY OF OSLO NORWAY (CANDIDATUS) (ODONTOLOGIAE)” ;(I7);
OSTERREICH (AUSTRIA);MAGISTER ARTIUM (παλαιού τύπου);B (6);
OSTERREICH (AUSTRIA);DIPLOM-INGENIEUR (DIPL.-ING);B (6);
OSTERREICH (AUSTRIA);MAGISTER DER ARCHITEKTUR (MAG.ARCH);B (6);
OSTERREICH (AUSTRIA);BACHELOR;B (6);
OSTERREICH (AUSTRIA);BACHELOR OF ARTS;B (6);
OSTERREICH (AUSTRIA);MASTER;I  (7);
OSTERREICH (AUSTRIA);DOKTOR;D (8);
PAKISTAN;BACHELOR OF ENGINEERING;Β(6);
PAKISTAN;BACHELOR'S DEGREE;Β(6);
PAKISTAN;MASTER'S DEGREE/ M. PHIL;I (7);
PAKISTAN;PhD;D (8);
PALESTINE;DOCTOR OF PHARMACY DEGREE ;B(6);
PALESTINE;BACHELOR’S DEGREE ;B(6);
PALESTINE;MASTER’S DEGREE;I(7);
PALESTINE;DOCTORATE;D(8);
PERU;BACHILLER/LICENCIADO;B (6);
PERU;MAESTRIA;I  (7);
PERU;DOCTOR;D (8);
PHILIPPINES;BACHELOR (4 χρόνια);B (6);
PHILIPPINES;DOCTOR OF MEDICINE (4 χρόνια);B (6);
PHILIPPINES;DOCTOR OF DENTAL SCIENCE (6 χρόνια);B (6);
PHILIPPINES;JURIS DOCTOR;B (6);
PHILIPPINES;MASTER;I  (7);
PHILIPPINES;DOCTOR OF PHILOSOPHY (PH.D);D (8);
POLAND;DOCTOR OF MEDICINE;B (7);
POLAND;BACHELOR (LICENJAT Þ INZYNIER) (3-31/2 χρόνια);B (6);
POLAND;LICENCJATA;B (6);
POLAND;MAGISTER;B (6);
POLAND;MAGISTER INZYNIER (41/2-6 χρόνια);B (7);
POLAND;LICENCJATA;B (6);
POLAND;MASTER OF ARTS;I  (7);
POLAND;MAGISTER  INZYNIER (11/2-2 χρόνια);I  (7);
POLAND;DOKTOR;D (8);
PORTUGAL;LICENCIADO / LICENTIATURA/BACHAREL (3-4 χρόνια);B (6);
PORTUGAL;MESTRADO (11/2-2 χρόνια);I  (7);
PORTUGAL;MESTRADO INTEGRADO (5-6 χρόνια);B (7);
PORTUGAL;DOUTOR;D (8);
ROMANIA;DIPLOMA DE LICENTA (3-4 χρόνια);B (6);Μετά το 1995
ROMANIA;DIPLOMA;B (6);Μέχρι το 1995
ROMANIA;DIPLOMA DE LICENTA SI MASTER (5-6 χρόνια);B (7);
ROMANIA;DIPLOMA DE INGINER;B (6);
ROMANIA;DIPLOMA DE MASTER (1-2 χρόνια);I  (7);
ROMANIA;DIPLOMA DE DOCTER (PhD) (3 χρόνια);D (8);
RUSSIA;DIPLOMA BAKALAVR (4 χρόνια);B (6);
RUSSIA;DIPLOMA (5 Ýôç);B (6);Παλαιού τύπου
RUSSIA;DIPLOMA SPECIALISTA (5-6 χρόνια);B (7);
RUSSIA;DIPLOMA SPECIALISTA (1-2 χρόνια);I  (7);
RUSSIA;DIPLOMA MAGISTR;I  (7);
RUSSIA;KANDIDAT NAUK (3-4 χρόνια) / DOKTORA NAUK (2-3 χρόνια) (PhD);D (8);
RUSSIA;DOCTOR OF SCIENCE;D (8);
RUSSIA;DOKTORA NAUK;D (8);
SERBIA;DIPLOMÁ (3-4 χρόνια);B (6);
SERBIA;DIPLOMA [MASTER ACADEMIC STUDY) (1-2 χρόνια);I  (7);
SERBIA;EDUCATE!;I  (7);
SERBIA;MAGISTAR NAUKA;I  (7);
SERBIA;INTEGRATED MASTER (5-6 χρόνια);I  (7);
SERBIA;PHD;D (8);
SINGAPORE;BACHELOR'S DEGREE;B (6);
SINGAPORE;MASTER'S DEGREE;I (7);
SINGAPORE ;DOCTOR'S DEGREE;D (8);
SLOVAKIA;DIPLOMA BAKALAR (3-4 χρόνια);B (6);
SLOVAKIA;MAGISTER / INZINIER /DOCTOR OF MEDICINE [MUDr.] / DOCTOR OF DENTAL MEDICINE / DOCTOR OF VETERINARY MEDICINE (5-6 χρόνια);B (7);
SLOVAKIA;DIPLOM MAGISTER (1-3 χρόνια);I  (7);
SLOVAKIA;DOCTORAT (PhD) (3-4 χρόνια);D (8);
SOUTH AFRICA;BACHELOR'S DEGREE (  3 χρόνια);B (6);
SOUTH AFRICA;BACHELOR'S DEGREE HONOURS(  4 χρόνια);B (6);
SOUTH AFRICA;BACHELOR OF MEDICINE  (B.Med) AND BACHELOR OF SURGERY ( B.Ch);B (6);
SOUTH AFRICA;MASTER'S DEGREE;I  (7);
SOUTH AFRICA;DOCTOR'S DEGREE;D (8);
SOUTH KOREA;BACHELOR ( 4-6 χρόνια);B (6);
SOUTH KOREA;MASTER;I  (7);
SOUTH KOREA;DOCTOR;D (8);
SRI LANKA;BACHELOR;B (6);
SRI LANKA;MASTER;I  (7);
SRI LANKA;DOCTOR OF PHILOSOPHY (PH.D);D (8);
SUDAN;BACHELOR ;B (6);
SUDAN;MASTER;I (7);
SUDAN;DOCTORATE;D (8);
SWEDEN;SPECIALPEDAGOGEXAMEN/POSTGRADUATE DIPLOMA in SPECIAL EDUCATIONAL NEEDS;I (7);
SWEDEN;KANDIDATEXAMEN;B (6);
SWEDEN;MAGISTEREXAMEN (MASTER OF ARTS/SCIENCE) (1 χρόνια);B (7);
SWEDEN;MAGISTEREXAMEN;I (7);
SWEDEN;MASTEREXAMEN (MASTER OF ARTS/SCIENCE) (2 χρόνια);I (7);
SWEDEN;DOKTORSEXAMEN;D (8);
SWEDEN;MASTER OF SCIENCE IN PHARMACY (EXAMENBEVIS APOTEKAREXAMEN) ;I (7);
SWEDEN;MASTER OF SCIENCE IN VETERINARY MEDICINE;B(6);
SWEDEN;DEGREE OF MASTER OF SCIENCE IN MEDICINE [Läkarexamen];B(6);
SWEDEN;DEGREE OF MASTER OF SCIENCE IN DENTAL SURGERY [Tandläkarexamen];B(6);
SWITZERLAND;BACHELOR;B (6);
SWITZERLAND;DIPLOME / DIPLOM / LICENCE/LIZENTIAT;B (6);
SWITZERLAND;MASTER (90-180 ECTS);I  (7);
SWITZERLAND;DOKTORAT (PhD);D (8);
SWITZERLAND;DIPLOME D'ETUDES APPROFONDIES;I  (7);
SWITZERLAND;DOCTOR OF MEDICINE;D (8);
SWITZERLAND;DOCTOR MEDICINAE VETERINARIAE (Dr. med. vet.);D (8);
SYRIA;BACHELOR ( 4 χρόνια);B (6);
SYRIA;MASTER ( 2 χρόνια);I  (7);
SYRIA;DOCTOR OF PHILOSOPHY ( Ph.D. );D (8);
TAIWAN;BACHELOR'S DEGREE;B (6);
TAIWAN;MASTER'S DEGREE;I  (7);
